Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,January,February,March,April,May,June
Afghanistan,33.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,4.0,5.0,5.0,1.0,0.0,0.0,2.0,0.0,16.0,0.0,34.0,10.0,10.0,16.0,0.0,10.0,50.0,4.0,63.0,36.0,8.0,18.0,50.0,18.0,56.0,21.0,40.0,37.0,34.0,52.0,58.0,49.0,70.0,56.0,66.0,27.0,63.0,30.0,66.0,84.0,103.0,72.0,112.0,68.0,172.0,125.0,111.0,232.0,164.0,134.0,235.0,190.0,330.0,168.0,171.0,215.0,255.0,369.0,285.0,276.0,263.0,413.0,414.0,349.0,262.0,408.0,581.0,492.0,531.0,540.0,782.0,584.0,591.0,658.0,625.0,580.0,623.0,866.0,680.0,545.0,759.0,0.0,1.0,173.0,1997.0,13034.0,1304.0
Albania,41.1533,20.1683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,11.0,10.0,5.0,4.0,9.0,4.0,4.0,5.0,6.0,6.0,13.0,15.0,19.0,23.0,28.0,12.0,11.0,15.0,11.0,20.0,16.0,18.0,27.0,29.0,28.0,16.0,6.0,17.0,9.0,7.0,17.0,13.0,21.0,8.0,19.0,24.0,21.0,9.0,14.0,22.0,25.0,25.0,29.0,15.0,34.0,14.0,10.0,14.0,16.0,7.0,9.0,7.0,6.0,8.0,17.0,12.0,10.0,8.0,6.0,12.0,4.0,4.0,4.0,18.0,18.0,17.0,13.0,2.0,1.0,15.0,5.0,12.0,8.0,9.0,6.0,25.0,21.0,26.0,23.0,23.0,15.0,6.0,21.0,0.0,0.0,243.0,530.0,364.0,27.0
Algeria,28.0339,1.6596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,4.0,2.0,11.0,11.0,6.0,6.0,14.0,13.0,3.0,49.0,62.0,29.0,34.0,38.0,65.0,42.0,45.0,57.0,73.0,132.0,131.0,139.0,185.0,80.0,69.0,103.0,45.0,104.0,94.0,95.0,64.0,89.0,69.0,87.0,90.0,108.0,150.0,116.0,95.0,89.0,93.0,99.0,97.0,120.0,129.0,126.0,135.0,132.0,199.0,158.0,148.0,141.0,179.0,174.0,190.0,159.0,185.0,187.0,189.0,165.0,168.0,176.0,186.0,189.0,187.0,192.0,198.0,182.0,176.0,165.0,186.0,190.0,195.0,193.0,197.0,194.0,160.0,140.0,137.0,133.0,127.0,119.0,113.0,0.0,1.0,715.0,3290.0,5388.0,232.0
Andorra,42.5063,1.5218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,0.0,14.0,22.0,13.0,25.0,20.0,31.0,24.0,36.0,43.0,41.0,26.0,36.0,6.0,14.0,38.0,11.0,27.0,35.0,24.0,20.0,19.0,19.0,18.0,0.0,37.0,8.0,13.0,14.0,0.0,23.0,8.0,9.0,4.0,0.0,6.0,0.0,8.0,7.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,79.0,0.0,0.0,376.0,369.0,19.0,80.0
Angola,-11.2027,17.8739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0,2.0,1.0,8.0,1.0,0.0,1.0,3.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,7.0,20.0,59.0,0.0
Antigua and Barbuda,17.0608,-61.7964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,17.0,2.0,0.0
Argentina,-38.4161,-63.6167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,4.0,0.0,5.0,2.0,0.0,12.0,3.0,11.0,11.0,12.0,11.0,18.0,31.0,30.0,108.0,35.0,86.0,0.0,115.0,87.0,101.0,55.0,75.0,234.0,0.0,79.0,132.0,186.0,0.0,103.0,74.0,87.0,80.0,180.0,0.0,167.0,66.0,69.0,166.0,128.0,98.0,89.0,81.0,102.0,90.0,113.0,291.0,172.0,173.0,112.0,111.0,124.0,158.0,143.0,104.0,149.0,102.0,104.0,133.0,188.0,163.0,240.0,165.0,258.0,244.0,285.0,316.0,255.0,345.0,326.0,263.0,303.0,438.0,474.0,648.0,718.0,704.0,723.0,552.0,600.0,705.0,769.0,717.0,795.0,637.0,564.0,904.0,0.0,0.0,1054.0,3374.0,12423.0,1468.0
Armenia,40.0691,45.0382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,10.0,8.0,26.0,26.0,6.0,31.0,21.0,24.0,34.0,41.0,14.0,16.0,25.0,39.0,78.0,17.0,58.0,50.0,39.0,92.0,73.0,34.0,52.0,11.0,20.0,28.0,40.0,16.0,30.0,46.0,26.0,28.0,44.0,48.0,42.0,47.0,43.0,48.0,62.0,72.0,50.0,73.0,81.0,69.0,62.0,59.0,65.0,134.0,82.0,125.0,113.0,121.0,112.0,163.0,102.0,145.0,146.0,138.0,79.0,146.0,180.0,142.0,184.0,239.0,189.0,351.0,218.0,230.0,335.0,322.0,374.0,359.0,452.0,289.0,372.0,442.0,460.0,251.0,355.0,210.0,517.0,0.0,0.0,532.0,1534.0,7216.0,727.0
Australia,-255.9695,1129.8623,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0,9.0,13.0,3.0,5.0,3.0,13.0,15.0,16.0,21.0,0.0,72.0,50.0,47.0,80.0,75.0,116.0,113.0,110.0,280.0,478.0,133.0,362.0,320.0,446.0,333.0,497.0,344.0,377.0,198.0,303.0,254.0,214.0,220.0,137.0,110.0,98.0,115.0,98.0,107.0,88.0,12.0,36.0,64.0,25.0,22.0,60.0,46.0,42.0,13.0,22.0,7.0,10.0,15.0,17.0,20.0,7.0,23.0,8.0,14.0,12.0,21.0,23.0,25.0,28.0,19.0,19.0,5.0,21.0,9.0,22.0,10.0,9.0,30.0,16.0,9.0,10.0,14.0,4.0,9.0,14.0,4.0,15.0,0.0,12.0,13.0,11.0,15.0,19.0,8.0,10.0,19.0,8.0,9.0,16.0,4534.0,2207.0,436.0,27.0
Austria,47.5162,14.5501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0,5.0,4.0,3.0,8.0,12.0,14.0,24.0,25.0,27.0,51.0,64.0,56.0,202.0,151.0,205.0,158.0,314.0,314.0,367.0,375.0,426.0,768.0,892.0,809.0,305.0,1321.0,748.0,614.0,517.0,830.0,562.0,531.0,418.0,395.0,257.0,270.0,246.0,342.0,303.0,302.0,311.0,251.0,139.0,96.0,185.0,110.0,140.0,119.0,76.0,78.0,46.0,78.0,52.0,77.0,69.0,77.0,77.0,49.0,83.0,45.0,50.0,79.0,27.0,39.0,24.0,29.0,34.0,68.0,22.0,59.0,38.0,11.0,79.0,36.0,61.0,51.0,92.0,41.0,27.0,52.0,32.0,51.0,32.0,50.0,17.0,36.0,18.0,34.0,37.0,27.0,30.0,46.0,2.0,26.0,0.0,9.0,10171.0,5272.0,1279.0,28.0
